beta,N,T,seed,variance,engagement,update_rate,bimodality,n_clusters
0,100,4000,0,0.06438130564058177,0.7672532107929472,0.2915,0.20172315404334648,4
0,100,4000,1,0.06308078461988596,0.7659442719934617,0.3075,0.20834500412800197,7
0,100,4000,2,0.08055113689936552,0.7470807025114011,0.3215,0.23008892157301966,4
0,100,4000,3,0.08579951987938576,0.7335663674109631,0.29725,0.22284404308019456,3
0,100,4000,4,0.06781974346233093,0.7644181221224104,0.34775,0.23859966602828128,3
0,100,4000,5,0.06692210279019091,0.7633069187860214,0.32225,0.21263885775017685,3
0,100,4000,6,0.06532465608037005,0.7674988751767096,0.344,0.21879648963741385,3
0,100,4000,7,0.06770431452865759,0.7620488179815017,0.29725,0.2117652071026981,4
0,100,4000,8,0.05393591767509024,0.7842160943576874,0.3275,0.20328026524245482,4
0,100,4000,9,0.07488066129038287,0.752638379558176,0.3355,0.23724487042336287,4
0,100,4000,10,0.056977696733159375,0.7667801552348481,0.36225,0.22675447311609143,3
0,100,4000,11,0.06629194031515759,0.7698425197779337,0.35225,0.21280335865684608,4
0,100,4000,12,0.06888800243424036,0.7561391583045168,0.311,0.22008465322950732,3
0,100,4000,13,0.07693229245800642,0.7466453397542465,0.25875,0.2091739592282312,4
0,100,4000,14,0.06842969299850946,0.7622118701805556,0.32125,0.2311209113582492,3
0,100,4000,15,0.07979493051205569,0.7427259727963993,0.28175,0.20978263297872707,5
0,100,4000,16,0.059517684483813484,0.7699738634309319,0.30175,0.1992364469584846,6
0,100,4000,17,0.0730005594539797,0.7608176171125318,0.353,0.2309823979719258,3
0,100,4000,18,0.06545307954287703,0.7577351021424632,0.2825,0.21710939931532697,4
0,100,4000,19,0.0763110505787246,0.7521344208275867,0.321,0.2159455683625118,3
0,100,4000,20,0.08836495154604558,0.7386363549275774,0.31125,0.2265062084694018,5
0,100,4000,21,0.06582928476012478,0.7555164412777229,0.293,0.22206078199590926,4
0,100,4000,22,0.06439013840423645,0.7672606553850299,0.27875,0.19427889925787556,4
0,100,4000,23,0.05048588660993863,0.7761351329903666,0.314,0.21857624731200112,3
0,100,4000,24,0.06365272877271322,0.7699142326757115,0.34075,0.2000448675822154,3
0,100,4000,25,0.06614353113878525,0.7697490740364917,0.34825,0.2119362567805338,4
0,100,4000,26,0.07578667749599587,0.7495282177113941,0.314,0.22869494136436988,3
0,100,4000,27,0.08256334500389917,0.751402295258711,0.31725,0.21775157060361128,4
0,100,4000,28,0.07630787986775223,0.7500557059092571,0.306,0.21787130703931198,3
0,100,4000,29,0.06225909428719436,0.7705274333332038,0.3365,0.2260019470888599,3
0,120,4800,0,0.07490504530238734,0.7437451036802528,0.28041666666666665,0.2021129447186649,3
0,120,4800,1,0.0772836747990381,0.7531216682017964,0.3360416666666667,0.2357466795435522,3
0,120,4800,2,0.059093188507487085,0.7640772352051503,0.34729166666666667,0.24722100009438308,4
0,120,4800,3,0.06809314096198935,0.7718834814181113,0.34229166666666666,0.25040459437988793,4
0,120,4800,4,0.07348989110133138,0.7628172623188981,0.348125,0.23024261913617589,3
0,120,4800,5,0.07941557169982423,0.7528659063090886,0.34208333333333335,0.23097203592154605,4
0,120,4800,6,0.07926928045949963,0.7454494565789231,0.3,0.21618004688486078,5
0,120,4800,7,0.07942471579861479,0.7503257186599529,0.329375,0.23198539829234313,7
0,120,4800,8,0.05528098257435695,0.7770507277862094,0.33625,0.20012447305921655,5
0,120,4800,9,0.06765958010222899,0.7618232036113973,0.3172916666666667,0.23004517669179908,3
0,120,4800,10,0.07187742987065861,0.7604803102662895,0.32979166666666665,0.2279894394489011,4
0,120,4800,11,0.06690745091081302,0.7617407479814828,0.2825,0.21297652449667145,6
0,120,4800,12,0.0897927119415774,0.7313121362713226,0.30541666666666667,0.23084613395541304,3
0,120,4800,13,0.06308976031313737,0.7701909975947145,0.34979166666666667,0.23640516454870483,3
0,120,4800,14,0.061061201061570744,0.7814775868581744,0.41083333333333333,0.2361737003993046,4
0,120,4800,15,0.06309246489307367,0.7617635587933089,0.27541666666666664,0.21510887349940652,4
0,120,4800,16,0.06425448363543693,0.7676339216044906,0.3204166666666667,0.22757524980029942,4
0,120,4800,17,0.07777864615805488,0.7498137831866751,0.3125,0.22161883355720235,4
0,120,4800,18,0.07064440302784283,0.7473801286592894,0.3020833333333333,0.207865273633443,3
0,120,4800,19,0.07725674390481077,0.7575704458204944,0.38,0.2435756232386482,3
0,120,4800,20,0.07086023348651978,0.7571954271695944,0.3095833333333333,0.2230857696800477,4
0,120,4800,21,0.08432974253754358,0.7414560120185999,0.3070833333333333,0.22919147966991638,3
0,120,4800,22,0.06871422445254685,0.7597451701329457,0.3020833333333333,0.268691661741017,3
0,120,4800,23,0.06776188987358053,0.7526478449430445,0.30395833333333333,0.23189271686478025,3
0,120,4800,24,0.07110117662919359,0.7566639565704497,0.313125,0.22208094679446128,4
0,120,4800,25,0.09593980351599715,0.7322434163991252,0.30666666666666664,0.2271371305646755,5
0,120,4800,26,0.07365481182778454,0.7510756751971669,0.2964583333333333,0.21566412352809905,5
0,120,4800,27,0.07236857562331318,0.7521709663222249,0.316875,0.22911193879735056,3
0,120,4800,28,0.05914769626539195,0.7732637793516449,0.31708333333333333,0.21584736245877367,4
