team_acc,overreliance,calib_error,harmful_flip_rate,beneficial_flip_rate,follow_rate,final_trust,skill,skill_peak,lam,seed,ai_acc
0.9298245614035088,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9298245614035088,0.9988059717389679,low,0.55,0.0,0,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9210526315789473,0.9988059717389679,low,0.55,0.0,1,0.9473684210526315
0.9254385964912281,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9342105263157895,0.9988059717389679,low,0.55,0.0,2,0.9473684210526315
0.9122807017543859,0.021929824561403508,0.051437550686336375,0.0,0.0,0.8947368421052632,0.9988059717389679,low,0.55,0.0,3,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.051437550686336375,0.0,0.0,0.9122807017543859,0.9988059717389679,low,0.55,0.0,4,0.9473684210526315
0.9254385964912281,0.013157894736842105,0.051437550686336375,0.0,0.0,0.9473684210526315,0.9988059717389679,low,0.55,0.0,5,0.9473684210526315
0.9210526315789473,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9429824561403509,0.9988059717389679,low,0.55,0.0,6,0.9473684210526315
0.8991228070175439,0.03508771929824561,0.051437550686336375,0.0,0.0,0.9385964912280702,0.9988059717389679,low,0.55,0.0,7,0.9473684210526315
0.9254385964912281,0.013157894736842105,0.051437550686336375,0.0,0.0,0.9210526315789473,0.9988059717389679,low,0.55,0.0,8,0.9473684210526315
0.9342105263157895,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9342105263157895,0.9988059717389679,low,0.55,0.0,9,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9473684210526315,0.9988059717389679,low,0.55,0.0,10,0.9473684210526315
0.9078947368421053,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9210526315789473,0.9988059717389679,low,0.55,0.0,11,0.9473684210526315
0.9298245614035088,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9385964912280702,0.9988059717389679,low,0.55,0.0,12,0.9473684210526315
0.9210526315789473,0.017543859649122806,0.051437550686336375,0.0,0.0,0.9385964912280702,0.9988059717389679,low,0.55,0.0,13,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.051437550686336375,0.0,0.0,0.9254385964912281,0.9988059717389679,low,0.55,0.0,14,0.9473684210526315
0.9254385964912281,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9429824561403509,0.9988059717389679,low,0.55,0.0,15,0.9473684210526315
0.9298245614035088,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9385964912280702,0.9988059717389679,low,0.55,0.0,16,0.9473684210526315
0.9254385964912281,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9605263157894737,0.9988059717389679,low,0.55,0.0,17,0.9473684210526315
0.9122807017543859,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9254385964912281,0.9988059717389679,low,0.55,0.0,18,0.9473684210526315
0.9078947368421053,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9122807017543859,0.9988059717389679,low,0.55,0.0,19,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.051437550686336375,0.0,0.0,0.956140350877193,0.9988059717389679,low,0.55,0.0,20,0.9473684210526315
0.9166666666666666,0.013157894736842105,0.051437550686336375,0.0,0.0,0.9298245614035088,0.9988059717389679,low,0.55,0.0,21,0.9473684210526315
0.9166666666666666,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9166666666666666,0.9988059717389679,low,0.55,0.0,22,0.9473684210526315
0.9429824561403509,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9824561403508771,0.9988059717389679,low,0.55,0.0,23,0.9473684210526315
0.9166666666666666,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9342105263157895,0.9988059717389679,low,0.55,0.0,24,0.9473684210526315
0.9122807017543859,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9385964912280702,0.9988059717389679,low,0.55,0.0,25,0.9473684210526315
0.9298245614035088,0.021929824561403508,0.051437550686336375,0.0,0.0,0.956140350877193,0.9988059717389679,low,0.55,0.0,26,0.9473684210526315
0.9298245614035088,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9298245614035088,0.9988059717389679,low,0.55,0.0,27,0.9473684210526315
0.9254385964912281,0.03070175438596491,0.051437550686336375,0.0,0.0,0.9473684210526315,0.9988059717389679,low,0.55,0.0,28,0.9473684210526315
0.9298245614035088,0.021929824561403508,0.051437550686336375,0.0,0.0,0.9298245614035088,0.9988059717389679,low,0.55,0.0,29,0.9473684210526315
0.9298245614035088,0.02631578947368421,0.05226453425205024,0.0043859649122807015,0.0043859649122807015,0.9298245614035088,0.9996329553046818,low,0.55,0.1,0,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.051437550686336375,0.0,0.0,0.9210526315789473,0.9988059717389679,low,0.55,0.1,1,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.05226453425205024,0.008771929824561403,0.0043859649122807015,0.9342105263157895,0.9996329553046818,low,0.55,0.1,2,0.9473684210526315
0.9078947368421053,0.021929824561403508,0.05143755068634226,0.0043859649122807015,0.0043859649122807015,0.8947368421052632,0.9988059717389738,low,0.55,0.1,3,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.0522645342574275,0.0043859649122807015,0.008771929824561403,0.9166666666666666,0.999632955310059,low,0.55,0.1,4,0.9473684210526315
0.9166666666666666,0.017543859649122806,0.051437550680965005,0.008771929824561403,0.0,0.9298245614035088,0.9988059717335965,low,0.55,0.1,5,0.9473684210526315
0.9254385964912281,0.021929824561403508,0.05143755068634226,0.0,0.0043859649122807015,0.9429824561403509,0.9988059717389738,low,0.55,0.1,6,0.9473684210526315
0.9035087719298246,0.03508771929824561,0.05226453425205024,0.0043859649122807015,0.0043859649122807015,0.9429824561403509,0.9996329553046818,low,0.55,0.1,7,0.9473684210526315
0.9298245614035088,0.013157894736842105,0.05143755068634226,0.0,0.0043859649122807015,0.9254385964912281,0.9988059717389738,low,0.55,0.1,8,0.9473684210526315
0.9298245614035088,0.021929824561403508,0.051437550686336375,0.0043859649122807015,0.0,0.9298245614035088,0.9988059717389679,low,0.55,0.1,9,0.9473684210526315
0.9385964912280702,0.017543859649122806,0.05226453425742761,0.0,0.008771929824561403,0.9605263157894737,0.9996329553100591,low,0.55,0.1,10,0.9473684210526315
0.8903508771929824,0.03508771929824561,0.051437550680965005,0.008771929824561403,0.0,0.9078947368421053,0.9988059717335965,low,0.55,0.1,11,0.9473684210526315
0.9342105263157895,0.02631578947368421,0.05226453425205613,0.0043859649122807015,0.008771929824561403,0.9429824561403509,0.9996329553046877,low,0.55,0.1,12,0.9473684210526315
0.9166666666666666,0.021929824561403508,0.05143755068097078,0.008771929824561403,0.0043859649122807015,0.9342105263157895,0.9988059717336023,low,0.55,0.1,13,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.05226453425205024,0.0043859649122807015,0.0043859649122807015,0.9210526315789473,0.9996329553046818,low,0.55,0.1,14,0.9473684210526315
0.9254385964912281,0.021929824561403508,0.05226453425205024,0.0043859649122807015,0.0043859649122807015,0.9429824561403509,0.9996329553046818,low,0.55,0.1,15,0.9473684210526315
0.9429824561403509,0.02631578947368421,0.05226453425205613,0.0043859649122807015,0.008771929824561403,0.9605263157894737,0.9996329553046877,low,0.55,0.1,16,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.0522645342574275,0.0043859649122807015,0.008771929824561403,0.9649122807017544,0.999632955310059,low,0.55,0.1,17,0.9473684210526315
0.9122807017543859,0.02631578947368421,0.05226453425205024,0.008771929824561403,0.0043859649122807015,0.9342105263157895,0.9996329553046818,low,0.55,0.1,18,0.9473684210526315
0.9078947368421053,0.03070175438596491,0.05226453425205024,0.0043859649122807015,0.0043859649122807015,0.9078947368421053,0.9996329553046818,low,0.55,0.1,19,0.9473684210526315
0.9254385964912281,0.02631578947368421,0.051437550686336375,0.0043859649122807015,0.0,0.9473684210526315,0.9988059717389679,low,0.55,0.1,20,0.9473684210526315
0.8903508771929824,0.021929824561403508,0.051437550680965005,0.008771929824561403,0.0,0.9122807017543859,0.9988059717335965,low,0.55,0.1,21,0.9473684210526315
0.9210526315789473,0.02631578947368421,0.05226453425205024,0.0043859649122807015,0.0043859649122807015,0.9254385964912281,0.9996329553046818,low,0.55,0.1,22,0.9473684210526315
0.9429824561403509,0.03070175438596491,0.05143755068634226,0.0043859649122807015,0.0043859649122807015,0.9824561403508771,0.9988059717389738,low,0.55,0.1,23,0.9473684210526315
0.9254385964912281,0.017543859649122806,0.05143755068634226,0.0,0.0043859649122807015,0.9385964912280702,0.9988059717389738,low,0.55,0.1,24,0.9473684210526315
0.8991228070175439,0.03070175438596491,0.05226453425205024,0.008771929824561403,0.0043859649122807015,0.9298245614035088,0.9996329553046818,low,0.55,0.1,25,0.9473684210526315
0.9342105263157895,0.017543859649122806,0.052264534257421724,0.0,0.0043859649122807015,0.9605263157894737,0.9996329553100533,low,0.55,0.1,26,0.9473684210526315
