final_alpha,accuracy,trust,calibration_gap
0.02044821135031357,0.7975,0.7973589251484033,0.00014107485159664535
0.0,0.80475,0.8047315523281845,1.8447671815469135e-05
0.019940632110192542,0.7995,0.7990041866982974,0.0004958133017025634
0.003667910938009787,0.805,0.8042874967023618,0.0007125032976382784
0.006074876521106764,0.79575,0.7961409729604106,0.00039097296041068486
0.021635204032737835,0.803,0.8030337164283087,3.3716428308627755e-05
0.033497974454258214,0.7885,0.7893202353349276,0.0008202353349275882
0.03088047259139917,0.79575,0.7966677669363318,0.0009177669363318319
0.02045833708440463,0.79575,0.7954952439290895,0.0002547560709104113
0.04213313431893209,0.79125,0.7926311666660706,0.0013811666660705768
0.017839344285286843,0.78475,0.7852754050009585,0.0005254050009585454
0.014539299712407524,0.7925,0.7932152370114429,0.0007152370114429374
0.005412913584722795,0.79575,0.7950985992658518,0.0006514007341481554
0.024811480435493777,0.807,0.8075986571460295,0.0005986571460294687
0.00534830532922642,0.82025,0.8191855314332488,0.0010644685667512421
0.024238442974425095,0.80775,0.8087102998764969,0.0009602998764969284
0.02663309471800234,0.79625,0.7965531816035097,0.0003031816035097279
0.03140285651778384,0.7955,0.7959336432191768,0.0004336432191768269
0.005932858929525154,0.8015,0.8008033778013717,0.0006966221986283161
0.01137972468189103,0.78475,0.7843707886960877,0.00037921130391227464
0.020393760400213047,0.79925,0.7987364899014596,0.0005135100985403929
0.009603776407245936,0.795,0.7942060692980099,0.0007939307019901864
0.007812983668648526,0.79475,0.7940212813714425,0.0007287186285575009
0.007245909686991757,0.81125,0.8100718895698062,0.0011781104301937795
0.02223633648094141,0.80175,0.802218032114017,0.00046803211401702516
0.023138810665543456,0.8005,0.7995293946029304,0.0009706053970696127
0.03084060159214924,0.804,0.804384850360906,0.0003848503609059639
0.020900487860559255,0.8025,0.8024259691331858,7.403086681423421e-05
0.018353572339896446,0.7925,0.7938952345882143,0.0013952345882143335
0.011396185388914149,0.8055,0.8051809726258957,0.00031902737410427484
