final_alpha,accuracy,trust,calibration_gap
0.02044821135031357,0.7975,0.5690790725520023,0.2284209274479977
0.0,0.80475,0.5791131232519867,0.22563687674801325
0.019940632110192542,0.7995,0.5742461638209173,0.22525383617908268
0.003667910938009787,0.805,0.5675223706671031,0.23747762933289696
0.006074876521106764,0.79575,0.5772814560985449,0.2184685439014551
0.021635204032737835,0.803,0.5658753194441083,0.23712468055589175
0.033497974454258214,0.7885,0.5554007030717617,0.23309929692823828
0.03088047259139917,0.79575,0.5656836224370002,0.23006637756299975
0.02045833708440463,0.79575,0.5624453975880853,0.23330460241191464
0.04213313431893209,0.79125,0.5596993605940006,0.2315506394059994
0.017839344285286843,0.78475,0.5673585243203914,0.2173914756796086
0.014539299712407524,0.7925,0.5686531538777617,0.22384684612223826
0.005412913584722795,0.79575,0.5626578370855577,0.23309216291444224
0.024811480435493777,0.807,0.5631446426315372,0.24385535736846287
0.00534830532922642,0.82025,0.5705023592460003,0.2497476407539997
0.024238442974425095,0.80775,0.5699083070879974,0.23784169291200252
0.02663309471800234,0.79625,0.5628556248304128,0.23339437516958716
0.03140285651778384,0.7955,0.5525724863069668,0.24292751369303323
0.005932858929525154,0.8015,0.5638246115461696,0.2376753884538304
0.01137972468189103,0.78475,0.5571169802729339,0.22763301972706607
0.020393760400213047,0.79925,0.5692097033723121,0.23004029662768788
0.009603776407245936,0.795,0.567054190873343,0.22794580912665707
0.007812983668648526,0.79475,0.5695200266893562,0.22522997331064376
0.007245909686991757,0.81125,0.5793499740343755,0.23190002596562453
0.02223633648094141,0.80175,0.5759973658431828,0.22575263415681712
0.023138810665543456,0.8005,0.5636820500124383,0.23681794998756167
0.03084060159214924,0.804,0.5666070727288078,0.2373929272711922
0.020900487860559255,0.8025,0.5712460100835153,0.23125398991648471
0.018353572339896446,0.7925,0.5641207603180267,0.22837923968197327
0.011396185388914149,0.8055,0.5613827824047611,0.24411721759523886
