team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,p_ai,transparent,heuristic,seed
0.6491666666666667,0.6516333333333333,0.6491666666666667,0.6453333333333333,0.6437054631828979,0.35378690629011555,0.6459868421052631,-0.002466666666666617,0.65,False,bayesian,0
0.6477,0.6486666666666666,0.6507,0.6501333333333333,0.6570283423990839,0.3535679524614518,0.6486513157894737,-0.0029999999999998916,0.65,False,bayesian,1
0.6479333333333334,0.6464333333333333,0.6495666666666666,0.6510666666666667,0.6537620089413108,0.3503874377790322,0.6478782894736842,-0.0016333333333332645,0.65,False,bayesian,2
0.6451,0.6501,0.649,0.6513333333333333,0.6575498575498575,0.35202876219825374,0.6468256578947367,-0.0050000000000000044,0.65,False,bayesian,3
0.6505333333333333,0.6504666666666666,0.6497333333333334,0.6527,0.652455272173582,0.34716806895136465,0.6504440789473684,6.666666666665932e-05,0.65,False,bayesian,4
0.6483333333333333,0.6515333333333333,0.6475,0.6489,0.6501182033096927,0.35176319176319176,0.6466940789473683,-0.0031999999999999806,0.65,False,bayesian,5
0.6498666666666667,0.6512666666666667,0.6496,0.6420333333333333,0.6380327245053272,0.35580870279146143,0.6469078947368422,-0.0013999999999999568,0.65,False,bayesian,6
0.6509333333333334,0.6503666666666666,0.6532666666666667,0.6556,0.6560276869832724,0.3446270027553832,0.6514144736842106,-0.0023333333333332984,0.65,False,bayesian,7
0.6483333333333333,0.6536666666666666,0.6476666666666666,0.6446,0.6477767265846736,0.35712815234173956,0.645904605263158,-0.005333333333333301,0.65,False,bayesian,8
0.6553666666666667,0.6510333333333334,0.6554,0.6533,0.6537047784871348,0.3469128267724545,0.6522039473684211,-3.333333333332966e-05,0.65,False,bayesian,9
0.6453,0.647,0.6458,0.6517666666666667,0.655561829474873,0.350314854960256,0.6474013157894737,-0.0017000000000000348,0.65,False,bayesian,10
0.6503,0.6518666666666667,0.6489666666666667,0.6453333333333333,0.645237869148229,0.35461502902049413,0.6446710526315789,-0.0015666666666667162,0.65,False,bayesian,11
0.649,0.6516,0.6540333333333334,0.6490333333333334,0.6550727430388285,0.35416135772896384,0.6492434210526316,-0.005033333333333334,0.65,False,bayesian,12
0.6517,0.6486333333333333,0.6526333333333333,0.6461666666666667,0.6414931388542366,0.35134582971551154,0.6488486842105263,-0.0009333333333333416,0.65,False,bayesian,13
0.6482333333333333,0.6454333333333333,0.6493,0.6423,0.6393878908848969,0.35612711124801066,0.6463815789473685,-0.0010666666666666602,0.65,False,bayesian,14
0.6515,0.6516666666666666,0.6503,0.6440333333333333,0.6419788390048613,0.35486185862935055,0.6478289473684211,-0.0001666666666666483,0.65,False,bayesian,15
0.6488333333333334,0.6526333333333333,0.6479,0.6441333333333333,0.6452712297642715,0.35648505427792354,0.6458717105263158,-0.0037999999999999146,0.65,False,bayesian,16
0.6485666666666666,0.6497,0.6475,0.6444,0.6456737588652482,0.3562934362934363,0.6444572368421052,-0.0011333333333334306,0.65,False,bayesian,17
