team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,conf_beta,p_ai,seed
0.7689333333333334,0.6494,0.7469666666666667,0.7787666666666667,0.6129627190093532,0.165067606765139,0.7475822368421052,0.02196666666666669,0.4,0.75,0
0.7666666666666667,0.6466666666666666,0.7465333333333334,0.7741333333333333,0.6091530773277223,0.16985175924272192,0.7454276315789474,0.020133333333333336,0.4,0.75,1
0.7653,0.6483333333333333,0.7464,0.7729666666666667,0.6125131440588854,0.17251697034655233,0.7444078947368421,0.018900000000000028,0.4,0.75,2
0.7699666666666667,0.6502,0.7521666666666667,0.7796,0.619502353732347,0.16764901395967205,0.749325657894737,0.017800000000000038,0.4,0.75,3
0.7726666666666666,0.6527333333333334,0.7562,0.7804666666666666,0.6133442712605961,0.1656528255311646,0.7508223684210527,0.01646666666666663,0.4,0.75,4
0.77,0.6488333333333334,0.7493333333333333,0.7742333333333333,0.6031914893617021,0.16854982206405694,0.7463980263157896,0.020666666666666722,0.4,0.75,5
0.7690666666666667,0.6460333333333333,0.7509666666666667,0.7806333333333333,0.6150448400481863,0.16445470282746683,0.7481907894736843,0.018100000000000005,0.4,0.75,6
0.7672666666666667,0.6492666666666667,0.7504,0.7774333333333333,0.6161858974358975,0.1689321250888415,0.747516447368421,0.016866666666666696,0.4,0.75,7
0.7708,0.6491333333333333,0.7524333333333333,0.7785,0.6120910192540729,0.16674788464094273,0.7486348684210526,0.018366666666666753,0.4,0.75,8
0.7715,0.6520666666666667,0.7485333333333334,0.7759666666666667,0.6003446447507953,0.16503384396152476,0.7440460526315789,0.02296666666666658,0.4,0.75,9
0.7704333333333333,0.6466333333333333,0.7510666666666667,0.7793333333333333,0.6112747723620782,0.1649653825670158,0.7485526315789474,0.019366666666666643,0.4,0.75,10
0.7680333333333333,0.6437,0.7512666666666666,0.7692666666666667,0.6006432591798445,0.17490460555506257,0.7452467105263159,0.016766666666666707,0.4,0.75,11
0.7715333333333333,0.6508666666666667,0.7548,0.7808333333333334,0.6193583469276781,0.16671082847553437,0.7486842105263157,0.016733333333333267,0.4,0.75,12
0.7651666666666667,0.6498333333333334,0.7472333333333333,0.7799,0.6215218251351707,0.16652540482669403,0.7482565789473683,0.017933333333333357,0.4,0.75,13
0.7674,0.6527666666666667,0.7484333333333333,0.7800666666666667,0.6145488273486154,0.16429875740435576,0.7453125,0.018966666666666687,0.4,0.75,14
0.7695666666666666,0.6492,0.7533666666666666,0.7780666666666667,0.6134612785511555,0.16804566169638513,0.7485690789473685,0.016199999999999992,0.4,0.75,15
