team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,sweep,value,p_ai,seed
0.7613,0.6447666666666667,0.7467333333333334,0.6520666666666667,0.4588049486707028,0.2823855012945273,0.6046701727924281,0.014566666666666617,eta_down,0.16,0.75,0
0.7653333333333333,0.6489333333333334,0.7507333333333334,0.6637333333333333,0.47044664348756354,0.27208951247668944,0.5994881641279678,0.014599999999999946,eta_down,0.16,0.75,1
0.7652333333333333,0.6521333333333333,0.7492333333333333,0.6602,0.471088661438256,0.27650487164657206,0.5961994979293028,0.016000000000000014,eta_down,0.16,0.75,2
0.7576,0.6509,0.7469,0.6539333333333334,0.4598972738048202,0.2803141875306824,0.5937758415732138,0.010700000000000043,eta_down,0.16,0.75,3
0.7643666666666666,0.6459666666666667,0.7512666666666666,0.6577,0.45738407933529884,0.27597834767947466,0.5997468945362305,0.0131,eta_down,0.16,0.75,4
0.764,0.6521666666666667,0.7508,0.6644,0.47592295345104335,0.2730420884389984,0.5934484683141443,0.01319999999999999,eta_down,0.16,0.75,5
0.7648,0.6559,0.7527666666666667,0.6598333333333334,0.4685182688418498,0.2773325067528672,0.5997992767995709,0.01203333333333334,eta_down,0.16,0.75,6
0.7699,0.6482666666666667,0.7540666666666667,0.6648333333333334,0.4639468690702087,0.26964901423393156,0.6172916307503814,0.015833333333333366,eta_down,0.16,0.75,7
0.7632333333333333,0.6468333333333334,0.7531333333333333,0.6575,0.4642182014582771,0.2791449057271842,0.6004181025842837,0.010099999999999998,eta_down,0.16,0.75,8
0.7607,0.6493333333333333,0.7445,0.6539,0.45909980430528374,0.27924781732706516,0.58228713212702,0.016199999999999992,eta_down,0.16,0.75,9
0.7667333333333334,0.6510666666666667,0.7501666666666666,0.6572333333333333,0.46137424949966643,0.27753832481670737,0.606810195080714,0.01656666666666673,eta_down,0.16,0.75,10
0.7633333333333333,0.646,0.7508666666666667,0.6609,0.46815627508696817,0.2751487170380893,0.6010219716380903,0.012466666666666626,eta_down,0.16,0.75,11
0.7645333333333333,0.6467666666666667,0.7481666666666666,0.6551666666666667,0.4558570483123759,0.2777456003564268,0.5769223318387698,0.01636666666666664,eta_down,0.16,0.75,12
0.7625,0.6524333333333333,0.7500666666666667,0.6548333333333334,0.46212323286209656,0.28095280419518265,0.597996166572386,0.012433333333333296,eta_down,0.16,0.75,13
0.7626666666666667,0.6452333333333333,0.749,0.6556333333333333,0.45976095617529883,0.27872719181130395,0.5927651928376171,0.013666666666666716,eta_down,0.16,0.75,14
0.7652333333333333,0.6487666666666667,0.7499666666666667,0.6545,0.4543394214104786,0.27876794524201076,0.5980474437221414,0.01526666666666665,eta_down,0.16,0.75,15
0.7650666666666667,0.6489333333333334,0.7500333333333333,0.6595,0.4661954927323643,0.27607661881694145,0.6057165219017472,0.015033333333333343,eta_down,0.16,0.75,16
0.7608,0.6444666666666666,0.7484666666666666,0.6513,0.4605088788762258,0.28458181170392804,0.5964612859218051,0.012333333333333418,eta_down,0.16,0.75,17
0.7671666666666667,0.6477,0.7523333333333333,0.6623333333333333,0.464064602960969,0.2723969871510855,0.6021959385898432,0.014833333333333365,eta_down,0.16,0.75,18
0.7658,0.6531333333333333,0.7522333333333333,0.6668333333333333,0.48002152562895195,0.2716355740683299,0.5696508759617344,0.013566666666666727,eta_down,0.16,0.75,19
0.8372,0.6473666666666666,0.8509333333333333,0.7962,0.6104651162790697,0.17126292698213727,0.7581116947785325,-0.013733333333333264,eta_down,0.16,0.85,0
0.8322333333333334,0.6491,0.8456,0.7896666666666666,0.6111830742659758,0.17774361400189215,0.7318200065257966,-0.013366666666666638,eta_down,0.16,0.85,1
0.8331666666666667,0.6531,0.8486666666666667,0.7950666666666667,0.6178414096916299,0.17333071484681853,0.7342402455397238,-0.015499999999999958,eta_down,0.16,0.85,2
0.8370333333333333,0.6502,0.8523666666666667,0.8011333333333334,0.6231655001128923,0.16804192249032107,0.7473585368040719,-0.015333333333333421,eta_down,0.16,0.85,3
0.8371,0.6469333333333334,0.8495333333333334,0.7983,0.6134249003101462,0.168955504983128,0.7375603894628071,-0.012433333333333407,eta_down,0.16,0.85,4
0.8296333333333333,0.6437,0.8434333333333334,0.7916333333333333,0.6161379604002555,0.1757894320831522,0.7357628349838947,-0.013800000000000034,eta_down,0.16,0.85,5
0.8305666666666667,0.6431333333333333,0.8483666666666667,0.793,0.6278302923719499,0.17747829161918982,0.7401120749569711,-0.017800000000000038,eta_down,0.16,0.85,6
0.8377,0.6495,0.8496333333333334,0.7955333333333333,0.6082908446020838,0.17132880850562987,0.7372811632694397,-0.011933333333333351,eta_down,0.16,0.85,7
0.8377666666666667,0.6485666666666666,0.8531,0.8044333333333333,0.6371681415929203,0.1667643496268511,0.7307409561233268,-0.01533333333333331,eta_down,0.16,0.85,8
0.8340333333333333,0.6456333333333333,0.8459666666666666,0.7931333333333334,0.6085262930101709,0.17325347728436896,0.7246900590269334,-0.011933333333333351,eta_down,0.16,0.85,9
0.835,0.6502333333333333,0.8487666666666667,0.7984666666666667,0.6332378223495702,0.17209284059223187,0.7330073730977259,-0.013766666666666705,eta_down,0.16,0.85,10
0.8392333333333334,0.6514,0.8524666666666667,0.8008,0.6272028920018075,0.16915617423946194,0.7459299129142871,-0.01323333333333332,eta_down,0.16,0.85,11
0.8361666666666666,0.65,0.8484666666666667,0.7947,0.6216454025516938,0.17439302270762944,0.7265168085954536,-0.012300000000000089,eta_down,0.16,0.85,12
0.8348,0.6561333333333333,0.8479,0.7932,0.6118781503396888,0.17427369579746038,0.742185767260461,-0.0131,eta_down,0.16,0.85,13
0.8366666666666667,0.6551,0.8476666666666667,0.7904666666666667,0.6032822757111598,0.17589461266221,0.7303698271183272,-0.01100000000000001,eta_down,0.16,0.85,14
0.8365,0.6475333333333333,0.8502,0.797,0.6239430351579884,0.17250842938916333,0.737266428104798,-0.013699999999999934,eta_down,0.16,0.85,15
0.8344,0.6448666666666667,0.8504666666666667,0.8010333333333334,0.6339723584485064,0.16959316453711687,0.747481147720942,-0.016066666666666674,eta_down,0.16,0.85,16
0.8323333333333334,0.6530666666666667,0.8458666666666667,0.7920666666666667,0.6187283737024222,0.17634773013871374,0.7404731325292697,-0.013533333333333286,eta_down,0.16,0.85,17
0.8329333333333333,0.6544333333333333,0.8457333333333333,0.7920666666666667,0.6153846153846154,0.17570550212833044,0.7381982501905493,-0.012800000000000034,eta_down,0.16,0.85,18
0.8380333333333333,0.6459333333333334,0.8504333333333334,0.7951,0.6224648985959438,0.17453847058362404,0.7371687650594315,-0.012400000000000078,eta_down,0.16,0.85,19
0.7617666666666667,0.6547,0.7551,0.5722,0.36804137743296583,0.3615856619432305,0.4978541963826381,0.00666666666666671,eta_down,0.24,0.75,0
0.7574666666666666,0.6518,0.7482666666666666,0.5661,0.3685116525423729,0.36742694226657163,0.5094896755946778,0.009199999999999986,eta_down,0.24,0.75,1
0.7620666666666667,0.6539,0.7515666666666667,0.5722,0.37112572118609954,0.36133410209784006,0.4959825146269237,0.010499999999999954,eta_down,0.24,0.75,2
0.7544,0.6526,0.7482333333333333,0.5649333333333333,0.36766847610221104,0.3686906936338932,0.4992573380047476,0.006166666666666654,eta_down,0.24,0.75,3
0.7582,0.6571333333333333,0.7499,0.5677333333333333,0.3707850193256031,0.36658221096146154,0.5193001693103727,0.008299999999999974,eta_down,0.24,0.75,4
0.7559,0.6484333333333333,0.7503333333333333,0.5619333333333333,0.3610146862483311,0.3712127943136384,0.4884867925977149,0.00556666666666672,eta_down,0.24,0.75,5
0.7530666666666667,0.6485333333333333,0.7449,0.5547333333333333,0.36273356853521493,0.3795140287286884,0.4926471556389811,0.008166666666666655,eta_down,0.24,0.75,6
0.7590333333333333,0.6505666666666666,0.7499333333333333,0.5638333333333333,0.35897094108237804,0.3678549204373722,0.5015254579131739,0.009099999999999997,eta_down,0.24,0.75,7
