team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,label,eta_up,eta_down,ratio,p_ai,seed
0.7602,0.6486,0.7524,0.5712,0.36200861604738827,0.3599592415381889,0.49684347937989615,0.007800000000000029,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,0
0.7553333333333333,0.6450666666666667,0.7508666666666667,0.5699666666666666,0.3757024351083757,0.36557755482553494,0.49983755663735785,0.004466666666666619,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,1
0.7593666666666666,0.6509333333333334,0.7500666666666667,0.5683,0.36716457722059215,0.3646786952270909,0.4943632035710219,0.009299999999999975,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,2
0.7557333333333334,0.6480666666666667,0.7515,0.5733666666666667,0.37424547283702214,0.3607895320470171,0.5059243363380923,0.004233333333333422,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,3
0.7580333333333333,0.658,0.75,0.5622333333333334,0.3606666666666667,0.3705777777777778,0.5002082863315765,0.008033333333333337,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,4
0.7614,0.6539666666666667,0.7519666666666667,0.5703333333333334,0.36433275097433143,0.3617181612660136,0.5077349807613486,0.009433333333333294,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,5
0.7601333333333333,0.6515666666666666,0.7509666666666667,0.5691,0.35457100789720253,0.359758533445781,0.49161062231718305,0.009166666666666656,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,6
0.7562666666666666,0.6463333333333333,0.7516,0.5733666666666667,0.36272141706924316,0.35701614333865533,0.4965700200837226,0.004666666666666597,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,7
0.7597333333333334,0.6457,0.7503666666666666,0.5705333333333333,0.36039524636132997,0.35955754964239706,0.5107527163454361,0.009366666666666745,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,8
0.7584,0.6533333333333333,0.7499,0.5678,0.36891909902705583,0.36587100502289194,0.5067122019904238,0.008499999999999952,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,9
0.7621333333333333,0.6466,0.7503666666666666,0.5677666666666666,0.34851114968620645,0.35929101328239527,0.49764454506449807,0.011766666666666703,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,10
0.7535,0.6478666666666667,0.7455333333333334,0.562,0.3638983494891276,0.37038361799159436,0.5008438895647851,0.007966666666666566,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,11
0.7606,0.6502,0.7516,0.5703333333333334,0.36500268384326356,0.3618059251374845,0.5044067078308914,0.009000000000000008,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,12
0.7602666666666666,0.6531666666666667,0.7509333333333333,0.5685,0.36148286937901497,0.36283735795454547,0.4902974358544536,0.009333333333333305,ratio3_scale_lo,0.05,0.15,2.9999999999999996,0.75,13
