team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,p_ai,hetero,heuristic,seed
0.7123,0.6528333333333334,0.6506666666666666,0.6743,0.5001908396946565,0.2322233606557377,0.6472861842105263,0.05946666666666667,0.65,False,bayesian,0
0.7064666666666667,0.6447666666666667,0.6484,0.6707666666666666,0.4999051952976868,0.2365823565700185,0.645625,0.05806666666666671,0.65,False,bayesian,1
0.7084333333333334,0.6558,0.6462333333333333,0.6723666666666667,0.5057005559219825,0.23639552277299222,0.6471710526315789,0.05263333333333331,0.65,False,bayesian,2
0.7140666666666666,0.6513666666666666,0.6522333333333333,0.6785333333333333,0.5043611616984568,0.22859917207543312,0.6503618421052632,0.061833333333333296,0.65,False,bayesian,3
0.7077,0.6504333333333333,0.6468,0.6699666666666667,0.5013212533031333,0.23794063079777367,0.6471381578947368,0.05726666666666669,0.65,False,bayesian,4
0.7133333333333334,0.6560333333333334,0.6498,0.6754333333333333,0.5006662859318485,0.23037857802400738,0.6503289473684211,0.05730000000000002,0.65,False,bayesian,5
0.7100666666666666,0.6515,0.6491666666666667,0.6734666666666667,0.5057482185273159,0.23589216944801028,0.6483881578947368,0.058566666666666656,0.65,False,bayesian,6
0.7083666666666667,0.6491666666666667,0.6498666666666667,0.6778,0.5071401370906321,0.23025235945835043,0.6483552631578948,0.058499999999999996,0.65,False,bayesian,7
0.7105,0.6493333333333333,0.6520666666666667,0.6740333333333334,0.4992335696493581,0.2326960433493508,0.6487828947368421,0.05843333333333334,0.65,False,bayesian,8
0.7097333333333333,0.6473333333333333,0.6492666666666667,0.6700333333333334,0.49876449344231133,0.2374473765273642,0.6476151315789473,0.06046666666666667,0.65,False,bayesian,9
0.7095666666666667,0.6477333333333334,0.6492,0.672,0.4943937666286583,0.23202916409940438,0.6468585526315789,0.06036666666666668,0.65,False,bayesian,10
0.7143,0.6531333333333333,0.6483333333333333,0.6733,0.4970616113744076,0.23110539845758354,0.6478289473684211,0.0611666666666667,0.65,False,bayesian,11
0.7069,0.6504333333333333,0.6459,0.6738666666666666,0.5052245128494776,0.23367910409248077,0.6480263157894737,0.056466666666666665,0.65,False,bayesian,12
0.7102333333333334,0.6494,0.6519,0.6723333333333333,0.5046442593124582,0.23812445671626528,0.6489144736842105,0.05833333333333335,0.65,False,bayesian,13
