p_ai,mean_diff,t,p_ttest,p_wilcoxon,n,p_ttest_bonf
0.65,0.056617777777777774,72.9736175261792,2.0270316964576555e-34,1.7333066441991056e-06,30,8.108126785830622e-34
0.75,0.056585555555555556,73.7210089193264,1.5107410827741315e-34,1.7333066441991056e-06,30,6.042964331096526e-34
0.85,0.04553666666666668,76.86329131775841,4.52978645712983e-35,1.732216233144114e-06,30,1.811914582851932e-34
0.95,0.019054444444444443,32.865858611674,1.677660798439864e-24,1.7333066441991056e-06,30,6.710643193759456e-24
