sweep,value,p_ai,mean_complementarity,t,p,n
conf_beta,1.0,0.75,0.019571666666666664,44.868541301794664,9.57640866308661e-21,20
conf_beta,1.0,0.85,-0.0034750000000000115,-11.64253816534534,4.310407279708469e-10,20
conf_beta,1.5,0.75,0.019855,42.582305327075716,2.5626935700392548e-20,20
conf_beta,1.5,0.85,-0.003586666666666671,-17.76479586136206,2.7140658113182066e-13,20
conf_beta,2.5,0.75,0.02054666666666668,48.05770257794682,2.626151168864833e-21,20
conf_beta,2.5,0.85,-0.003178333333333322,-10.552606654279389,2.1976580425503968e-09,20
eta_down,0.16,0.75,0.01394333333333334,33.04067497370902,2.987308870804249e-18,20
eta_down,0.16,0.85,-0.013653333333333345,-37.16981180925852,3.293998927888341e-19,20
eta_down,0.24,0.75,0.007158333333333322,15.85475439852474,2.0683648310784893e-12,20
eta_down,0.24,0.85,-0.02422500000000003,-51.42494460805991,7.32111965010939e-22,20
eta_down,0.32,0.75,-0.0022266666666666602,-4.666496899575138,0.00016817508521752779,20
eta_down,0.32,0.85,-0.03529166666666666,-76.60331627297415,3.9048528821164757e-25,20
