skill,lam,team_acc_mean
low,0.4,0.9233918128654973
low,0.41,0.9233918128654973
low,0.42,0.9233918128654973
low,0.43,0.9233918128654973
low,0.44,0.9233918128654973
low,0.45,0.9233918128654973
low,0.46,0.9182748538011699
low,0.47,0.91593567251462
low,0.48,0.91593567251462
low,0.49,0.91593567251462
low,0.5,0.9111111111111114
low,0.51,0.9111111111111114
low,0.52,0.9146198830409359
low,0.53,0.9115497076023394
low,0.54,0.9115497076023394
low,0.55,0.9115497076023394
low,0.56,0.9141812865497078
low,0.57,0.9090643274853804
low,0.58,0.9115497076023392
low,0.59,0.9055555555555558
low,0.6,0.9011695906432752
low,0.61,0.8995614035087721
low,0.62,0.8956140350877194
low,0.63,0.8842105263157897
low,0.64,0.8464912280701753
low,0.65,0.6406432748538011
low,0.66,0.6406432748538011
low,0.67,0.6406432748538011
low,0.68,0.6406432748538011
low,0.69,0.6406432748538011
low,0.7,0.6406432748538011
low,0.71,0.6406432748538011
low,0.72,0.6406432748538011
low,0.73,0.6406432748538011
low,0.74,0.6406432748538011
low,0.75,0.6406432748538011
low,0.76,0.6406432748538011
low,0.77,0.6406432748538011
low,0.78,0.6406432748538011
low,0.79,0.6406432748538011
low,0.8,0.6406432748538011
low,0.81,0.6406432748538011
low,0.82,0.6406432748538011
low,0.83,0.6406432748538011
low,0.84,0.6406432748538011
medium,0.4,0.9334795321637426
medium,0.41,0.9334795321637426
medium,0.42,0.9334795321637426
medium,0.43,0.9295321637426902
medium,0.44,0.9282163742690059
medium,0.45,0.9282163742690059
medium,0.46,0.9282163742690059
medium,0.47,0.9248538011695909
medium,0.48,0.9248538011695909
medium,0.49,0.9280701754385966
medium,0.5,0.9254385964912282
medium,0.51,0.9254385964912282
medium,0.52,0.9279239766081873
medium,0.53,0.9323099415204678
medium,0.54,0.9261695906432748
medium,0.55,0.9226608187134503
medium,0.56,0.9216374269005848
medium,0.57,0.9176900584795323
medium,0.58,0.9016081871345031
medium,0.59,0.7530701754385963
medium,0.6,0.7530701754385963
medium,0.61,0.7530701754385963
medium,0.62,0.7530701754385963
medium,0.63,0.7530701754385963
medium,0.64,0.7530701754385963
medium,0.65,0.7530701754385963
medium,0.66,0.7530701754385963
medium,0.67,0.7530701754385963
medium,0.68,0.7530701754385963
medium,0.69,0.7530701754385963
medium,0.7,0.7530701754385963
medium,0.71,0.7530701754385963
medium,0.72,0.7530701754385963
medium,0.73,0.7530701754385963
medium,0.74,0.7530701754385963
medium,0.75,0.7530701754385963
medium,0.76,0.7530701754385963
medium,0.77,0.7530701754385963
medium,0.78,0.7530701754385963
medium,0.79,0.7530701754385963
medium,0.8,0.7530701754385963
medium,0.81,0.7530701754385963
medium,0.82,0.7530701754385963
medium,0.83,0.7530701754385963
medium,0.84,0.7530701754385963
high,0.4,0.9413742690058479
high,0.41,0.9381578947368419
high,0.42,0.9371345029239764
high,0.43,0.9371345029239764
high,0.44,0.9349415204678361
high,0.45,0.9349415204678361
high,0.46,0.936988304093567
high,0.47,0.936988304093567
high,0.48,0.9393274853801168
high,0.49,0.9448830409356723
high,0.5,0.9418128654970759
high,0.51,0.9391812865497076
high,0.52,0.9380116959064326
high,0.53,0.9352339181286549
high,0.54,0.9032163742690059
high,0.55,0.854970760233918
high,0.56,0.854970760233918
high,0.57,0.854970760233918
high,0.58,0.854970760233918
high,0.59,0.854970760233918
high,0.6,0.854970760233918
high,0.61,0.854970760233918
high,0.62,0.854970760233918
high,0.63,0.854970760233918
high,0.64,0.854970760233918
high,0.65,0.854970760233918
high,0.66,0.854970760233918
high,0.67,0.854970760233918
high,0.68,0.854970760233918
high,0.69,0.854970760233918
high,0.7,0.854970760233918
high,0.71,0.854970760233918
high,0.72,0.854970760233918
high,0.73,0.854970760233918
high,0.74,0.854970760233918
high,0.75,0.854970760233918
high,0.76,0.854970760233918
high,0.77,0.854970760233918
high,0.78,0.854970760233918
high,0.79,0.854970760233918
high,0.8,0.854970760233918
high,0.81,0.854970760233918
high,0.82,0.854970760233918
high,0.83,0.854970760233918
high,0.84,0.854970760233918
