skill,lam,team_acc_mean,team_acc_std,overreliance_mean,overreliance_std,calib_error_mean,calib_error_std,harmful_flip_mean,beneficial_flip_mean,follow_rate_mean,final_trust_mean
high,0.0,0.940204678362573,0.007852894877495903,0.031725146198830406,0.006060247246552227,0.051437550686336375,0.0,0.0,0.0,0.9349415204678363,0.9988059717389679
high,0.1,0.9406432748538012,0.010849870386396576,0.031286549707602335,0.005842909702528406,0.05190617470691032,0.00041680545242837224,0.0043859649122807015,0.0045321637426900575,0.935672514619883,0.9992745957595418
high,0.2,0.9406432748538012,0.010849870386396576,0.031286549707602335,0.005842909702528406,0.05190617470691032,0.00041680545242837224,0.0043859649122807015,0.0045321637426900575,0.935672514619883,0.9992745957595418
high,0.3,0.9444444444444444,0.010387605261697526,0.02807017543859649,0.005475646103181882,0.05190618602742914,0.0004168049596104997,0.0043859649122807015,0.0077485380116959065,0.9388888888888889,0.9992746070800607
high,0.4,0.9457602339181287,0.012377724366050365,0.02865497076023392,0.007351164266966531,0.05127257149082057,0.006319522397002083,0.01330409356725146,0.016959064327485382,0.9387426900584795,0.9562937591784039
high,0.45,0.9488304093567251,0.014122409341106099,0.02660818713450292,0.00876688703608798,0.05126008232004813,0.006690342073785206,0.02236842105263158,0.028947368421052628,0.9423976608187135,0.9558401014812865
high,0.5,0.8207602339181287,0.02000749869152962,0.13596491228070176,0.015410178431924952,0.12815542712798458,0.09133462328757663,0.1621345029239766,0.03552631578947368,0.815204678362573,0.8202537132430023
high,0.55,0.8200292397660819,0.019966012839345043,0.13654970760233917,0.015094142707090403,0.1281554271471658,0.09133462328759794,0.1628654970760234,0.03552631578947368,0.8144736842105263,0.8202537132110337
high,0.6,0.8200292397660819,0.019966012839345043,0.13654970760233917,0.015094142707090403,0.1281554271471658,0.09133462328759794,0.1628654970760234,0.03552631578947368,0.8144736842105263,0.8202537132110337
high,0.7,0.8200292397660819,0.019966012839345043,0.13654970760233917,0.015094142707090403,0.1281554271471658,0.09133462328759794,0.1628654970760234,0.03552631578947368,0.8144736842105263,0.8202537132110337
high,0.85,0.8200292397660819,0.019966012839345043,0.13654970760233917,0.015094142707090403,0.1281554271471658,0.09133462328759794,0.1628654970760234,0.03552631578947368,0.8144736842105263,0.8202537132110337
high,1.0,0.8200292397660819,0.019966012839345043,0.13654970760233917,0.015094142707090403,0.1281554271471658,0.09133462328759794,0.1628654970760234,0.03552631578947368,0.8144736842105263,0.8202537132110337
low,0.0,0.9232456140350876,0.00948059952398825,0.02412280701754386,0.005844801530229763,0.051437550686336375,0.0,0.0,0.0,0.9349415204678363,0.9988059717389679
low,0.1,0.9230994152046783,0.014094198973557896,0.023976608187134502,0.005842909702528406,0.05185104246883797,0.00042056053232386045,0.0043859649122807015,0.0042397660818713455,0.935233918128655,0.9992194635214695
low,0.2,0.9230994152046783,0.014094198973557896,0.023976608187134502,0.005842909702528406,0.05185104246883797,0.00042056053232386045,0.0043859649122807015,0.0042397660818713455,0.935233918128655,0.9992194635214695
low,0.3,0.926608187134503,0.013379527497214634,0.021198830409356724,0.00541269387968208,0.051851052245649676,0.00042056105575733724,0.0043859649122807015,0.007017543859649122,0.9375730994152047,0.9992194732982812
low,0.4,0.9181286549707602,0.014854936419868016,0.027339181286549708,0.007953612999137171,0.05709339574763758,0.007877912353156784,0.017105263157894735,0.013888888888888888,0.9318713450292397,0.9184980926593773
low,0.45,0.905701754385965,0.019841592029491,0.03654970760233918,0.008411636868164634,0.057400290996241006,0.00871068174052126,0.03640350877192982,0.022953216374269003,0.9226608187134503,0.9173599271275559
low,0.5,0.543421052631579,0.03471424803096226,0.23728070175438595,0.020551029326034177,0.4341932814108661,0.12756107498370486,0.42967836257309944,0.026461988304093565,0.5385964912280702,0.5131751396417654
low,0.55,0.5425438596491229,0.0350905549368396,0.23757309941520469,0.020926324235658957,0.4341932814811972,0.12756107497469427,0.43128654970760233,0.026461988304093565,0.5371345029239766,0.5131751395714343
low,0.6,0.5425438596491229,0.0350905549368396,0.23757309941520469,0.020926324235658957,0.4341932814811972,0.12756107497469427,0.43128654970760233,0.026461988304093565,0.5371345029239766,0.5131751395714343
