variant,skill_name,lambda,team_acc,overreliance,calib_error
binary,high,0.0,0.9441520467836256,0.03318713450292397,0.04985539995355873
binary,high,0.1,0.948391812865497,0.026754385964912277,0.05051698680881971
binary,high,0.2,0.948391812865497,0.026754385964912277,0.05051698680881971
binary,high,0.3,0.9510233918128655,0.024269005847953214,0.050516994601264256
binary,high,0.4,0.956140350877193,0.015497076023391813,0.04922726702806711
binary,high,0.45,0.9603801169590642,0.005263157894736842,0.04913835558678588
binary,high,0.5,0.8590643274853801,0.0,0.07938146711975191
binary,high,0.55,0.8583333333333333,0.0,0.07938146713893314
binary,high,0.6,0.8583333333333333,0.0,0.07938146713893314
binary,high,0.7,0.8583333333333333,0.0,0.07938146713893314
binary,high,0.85,0.8583333333333333,0.0,0.07938146713893314
binary,high,1.0,0.8583333333333333,0.0,0.07938146713893314
binary,low,0.0,0.9059941520467837,0.02353801169590643,0.04683793770361919
binary,low,0.1,0.9071637426900584,0.0185672514619883,0.04787905179841105
binary,low,0.2,0.9071637426900584,0.0185672514619883,0.04787905179841105
binary,low,0.3,0.9118421052631579,0.01608187134502924,0.047879873832091115
binary,low,0.4,0.9089181286549708,0.010526315789473684,0.05520071026121591
binary,low,0.45,0.8903508771929824,0.0033625730994152046,0.06251145121069498
binary,low,0.5,0.5508771929824562,0.0,0.3807142025406742
binary,low,0.55,0.5498538011695906,0.0,0.3807142025854303
binary,low,0.6,0.5498538011695906,0.0,0.3807142025854303
binary,low,0.7,0.5498538011695906,0.0,0.3807142025854303
binary,low,0.85,0.5498538011695906,0.0,0.3807142025854303
binary,low,1.0,0.5498538011695906,0.0,0.3807142025854303
binary,medium,0.0,0.9312865497076023,0.028801169590643272,0.04900911111317341
binary,medium,0.1,0.9358187134502923,0.022807017543859647,0.05028485906724957
binary,medium,0.2,0.9358187134502923,0.022807017543859647,0.05028485906724957
binary,medium,0.3,0.9387426900584795,0.020321637426900584,0.05028487335567259
binary,medium,0.4,0.9400584795321637,0.01330409356725146,0.05499349976099834
binary,medium,0.45,0.9330409356725146,0.0043859649122807015,0.05325044944694709
binary,medium,0.5,0.7045321637426901,0.0,0.2283038658308056
binary,medium,0.55,0.7036549707602339,0.0,0.228303865869168
binary,medium,0.6,0.7036549707602339,0.0,0.228303865869168
binary,medium,0.7,0.7036549707602339,0.0,0.228303865869168
binary,medium,0.85,0.7036549707602339,0.0,0.228303865869168
binary,medium,1.0,0.7036549707602339,0.0,0.228303865869168
continuous,high,0.0,0.9394736842105263,0.035233918128654965,0.048613478810276584
continuous,high,0.1,0.939327485380117,0.033479532163742685,0.04875130940436214
continuous,high,0.2,0.9435672514619883,0.030116959064327483,0.05070461165192921
