topology,epsilon,alpha,n_seeds,variance_mean,variance_std,extremeness_mean,extremeness_std,frac_extreme_mean,frac_extreme_std,amp_ratio_mean,amp_ratio_std,ablation_tag
mixing,0.15,0.0,5,0.31283709369692125,0.021782143842118774,0.4837673810717706,0.017688529359977754,0.4710000000000001,0.08575546629807337,1.0117989288963716,0.03047347681405782,mu0.5
mixing,0.15,3.0,5,0.301271999388547,0.023501043440329474,0.4747237806951591,0.0201740089239739,0.45600000000000007,0.10456576877735849,2.652579144134843,0.19861687149152688,mu0.5
mixing,0.15,6.0,5,0.3011852605030699,0.02239339714949997,0.47374497838047896,0.016884319015422446,0.491,0.05444263035526481,6.4176697611299245,0.8259821519315946,mu0.5
mixing,0.35,0.0,5,0.2286468891641686,0.03534808078409903,0.4357637969471842,0.024003508272001216,0.34299999999999997,0.2536651335915127,1.0407699409035542,0.018144308184797807,mu0.5
mixing,0.35,3.0,5,0.20985657623265022,0.03918448266392687,0.4222421072022688,0.042401987731795446,0.404,0.21359775279716778,3.477100679061466,0.46534787321311877,mu0.5
mixing,0.35,6.0,5,0.22020095287175723,0.03840176603129478,0.43040923467488207,0.03410331765177095,0.324,0.2732471408816568,10.836251073530974,1.823730060080526,mu0.5
mixing,0.15,0.0,5,0.31086492870220506,0.013212739660888807,0.4832917779379823,0.022438791104724236,0.51,0.08602325267042628,0.9995149483090762,0.024140077789507376,N100
mixing,0.15,3.0,5,0.30638504024476376,0.018581579929584164,0.47424480961671894,0.021310726605463026,0.49800000000000005,0.11232096865679178,2.625094371916611,0.10582634653810967,N100
mixing,0.15,6.0,5,0.30031981438027877,0.016483512032864463,0.47517104545000144,0.01819151403622134,0.44800000000000006,0.07110555533852471,6.095173030030995,0.463001145870099,N100
mixing,0.35,0.0,5,0.25925349711520174,0.023341191084688056,0.4349613143431685,0.053551532418420145,0.5660000000000001,0.13124023773218335,0.9576841420901134,0.05598800483433357,N100
mixing,0.35,3.0,5,0.24460080560727593,0.026102053772758985,0.42508536602879843,0.040614355624917324,0.4779999999999999,0.25063120316512866,3.364186532298951,0.34848911982834235,N100
mixing,0.35,6.0,5,0.2181613902958154,0.02764461218883626,0.407627420073431,0.04611867626656672,0.4640000000000001,0.1284678948220138,10.577467722097497,3.0019411947736305,N100
